id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99
2,0,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft student with encarta premium 2008 complete package,,43.6
3,0,adobe after effects professional 7.0,adobe,999.0,adobe flash cs3 professional ( mac ),,699.0
4,1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95
5,1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
6,0,quickbooks premier non-profit edition 2005,intuit inc.,499.95,quickbooks ( r ),,199.99
7,0,mavis beacon typing 17 ( win/mac ),encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99
8,0,adobe premiere pro cs3,adobe,799.0,adobe soundbooth cs3 academic,,95.99
9,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
10,0,reader rabbit learning system 1st grade,encore software,29.99,dr. seuss reading learning system 2008 encore,,19.95
11,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design premium,,1865.99
12,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97
13,0,3d home architect landscape designer v8,encore software,29.99,encore inc 3d home architect home design deluxe version 9,,25.49
14,0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92
15,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft windows vista business full version,,249.95
16,0,adobe creative suite cs3 web standard,adobe,999.0,adobe creative suite 3 web standard complete package academic cd mac,,369.0
17,0,printmaster gold v 17.0,encore software,19.99,print master platinum v17,,29.9
18,0,microsoft windows xp professional full version with sp2,microsoft,299.99,adobe production premium cs3 software suite for windows professional editing software,,1698.95
19,0,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04
20,0,microsoft office & windows training professional,topics entertainment,49.95,adobe after effects cs3 professional software for windows effects software,,998.95
21,0,dk smart steps 3rd grade,global-software-publishing,9.99,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95
22,0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office 2004 std upgrade,,219.99
23,0,best of card games ( jewel case ),on-hand-software,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
24,0,instant immersion german audio,topics entertainment,,topics entertainment instant immersion italian 2.0,,17.55
25,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) money 2004 standard,,29.99
26,0,onone software pxl smartscale windows and macintosh ),onone software,,onone software inc. mpr-40212,onone software inc.,66.27
27,0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
28,1,microsoft word 2007 version upgrade,microsoft,109.95,microsoft word 2007 upgrade ( pc ),,109.95
29,0,microsoft word 2007 version upgrade,microsoft,109.95,word mac 2004 upgrade microsoft d48-00488,,97.36
30,0,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
31,1,hoyle : classic collection 2006,encore,19.99,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97
32,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design premium academic,,575.99
33,0,midway arcade treasures ( jewel case ),encore software,9.99,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59
34,0,digital vault,stompsoft inc.,29.99,digital video & audio prod book,sony-pictures-digital-entertainment,27.5
35,0,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft powerpoint mac 2004 version upgrade,,89.99
36,0,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,apple garageband jam pack : symphony orchestra,,95.99
37,0,microsoft asp net web matrix,microsoft,30.0,microsoft ( r ) word 2007,,109.99
38,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immersion japanese 2.0,,22.43
39,0,punch ! professional home design platinum v10,punch ! software,99.0,punch software 41100 punch ! home design architectural series 18,punch software,118.99
40,0,instant immersion german deluxe 2.0,topics entertainment,39.99,instant immers french dlx 2,,27.57
41,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87
42,0,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58
43,0,digidesign music production toolkit ( pro tools le ),digidesign,495.0,apple/emagic logic pro 7.2 software music production software,,999.0
44,0,adobe creative suite cs3 master collection upsell,adobe,1999.0,adobe cs3 after effects,,1025.99
45,0,hoyle kids ' games jc,encore,9.99,hoyle card games,,9.95
46,0,net ad creator,laughing bird,39.99,laughingbird the logo creator,,34.99
47,1,reel deal slots 2.0 for pc,phantom efx,9.99,phantom efx reel deal slots v 2.0,,7.36
48,0,adobe creative suite cs3 web standard [ mac ],adobe,999.0,adobe production premium cs3 software suite for mac av production software,,1698.95
49,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87
50,0,windows vista business spanish full version [ dvd ],microsoft,329.95,microsoft windows vista business full version,,249.95
51,0,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,quickbooks ( r ) pro 2007 edition 3-user,,499.99
52,0,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,microsoft ( r ) office word 2004 for mac full version,,231.29
53,0,instant immersion spanish deluxe 2.0,topics entertainment,49.99,instant immersion italian 2.0,topics entertainment,20.99
54,0,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat v8 .0 professional for mac,,405.99
55,0,apple final cut studio 2 ( mac ),apple,1299.0,adobe flash cs3 professional ( mac ),,699.0
56,0,reference success deluxe 2006,topics entertainment,49.95,high school success deluxe 2006,,7.9
57,0,microsoft windows vista business 32-bit for system builders,microsoft,179.99,microsoft ( r ) windows vista ( tm ) home basic,,99.99
58,0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft ( r ) excel 2007,,109.99
59,0,peachtree by sage premium accounting 2007,sage software,499.99,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,,590.35
60,0,adobe creative suite cs3 production premium,adobe,1699.0,adobe cs3 production premium upgrade,,822.99
61,0,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2
62,0,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95
63,0,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,pinnacle mobile media converter software for windows ipod software,,29.95
64,0,sibelius 4 professional edition,sibelius-software-ltd .,599.99,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95
65,0,microsoft entertainment pack ce,microsoft,49.5,entertainment partners ep budgeting for film,,415.99
66,0,adobe premiere pro 2.0,adobe,849.0,premiere pro cs3 mac upgrade,,320.25
67,0,microsoft office small business 2007,microsoft software,735.33,microsoft windows vista business retail no open box returns,,299.99
68,1,world of rainbow fish,global-software-publishing,19.99,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19
69,0,mcafee internet security suite 2007 3 users,mcafee,89.99,f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35
70,0,sonicwall gms standard edition 10 node license,sonicwall,,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92
71,0,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95,microsoft ( r ) windows vista ( tm ) home premium,,239.99
72,1,irispen express translator,iris,149.99,iris inc irispen express translator,,142.29
73,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft mappoint 2006 with gps locator ( pc ),,349.99
74,0,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,adobe dreamweaver cs3 upgrade windows,,236.74
75,0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft ( r ) office ultimate 2007,,539.95
76,0,microspot macdraft professional ( mac ),microspot ltd.,349.99,adobe acrobat v8 .0 professional for mac,,405.99
77,0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0
78,1,snap ! spelling ( jewel case ),topics entertainment,19.95,spelling,,4.93
79,0,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,,bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,,4746.16
80,0,zonealarm internet security suite,zone labs,49.99,panda software panda internet security 2007,,69.99
81,0,mediafour macdrive 6 for windows,mediafour corporation,49.99,quark quarkxpress 7 upgrade for mac & windows,,244.99
82,0,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95
83,1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95
84,0,quicken 2007 premier,intuit,79.95,quickbooks pro 2007 3 user,intuit,398.99
85,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) word 2007,,109.99
86,0,peachtree by sage premium accounting 2007,sage software,499.99,laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29
87,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 flash professional upgrade,,205.99
88,1,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99
89,0,the print shop 22 deluxe,encore,49.99,encore software 11941 the print shop zoom,,17.97
90,0,panda antivirus 2007,panda software,29.95,norton antivirus 2007 3 user pack,,49.95
91,0,adobe creative suite cs3 production premium upgrade,adobe,799.0,adobe acrobat v8 .0 professional for mac upgrade,,145.99
92,0,power production storyboard artist 4,power production,,power production storyboard quick 5 software for mac and windows animation software,,299.0
93,0,adobe cs3 design standard macosx dvd,adobe,399.0,adobe cs3 web standard,,1035.99
94,0,peachtree by sage premium accounting 2007,sage software,499.99,peachtree ( r ) compatible continuous checks-office accounting 12.0,,91.59
95,0,adobe after effects cs3 upgrade,adobe,299.0,adobe contribute cs3 upgrade,,82.99
96,0,symc backup exec sbs aws 11d win sbs agent for windows systems,symantec,447.74,10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers -,,644.84
97,0,station access collection,sony-creative-software,29.99,ultimate puzzle collection,,9.95
98,0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft windows vista home basic upgrade ( pc ),,99.99
99,0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft word 2007 upgrade ( pc ),,109.95
100,0,instant immersion spanish ( audio book ),topics entertainment,,instant immers italian dlux 2 .,,36.11
101,0,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,roller coaster tycoon 3 for pc,,29.99
102,0,peachtree by sage complete accounting 2007,sage software,269.99,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,,1180.37
103,0,recam remote monitoring software,mobi-technologies-inc .,129.0,corel ulead dvd workshop 2 authoring software,,299.95
104,0,quickbooks premier professional services edition 2007,intuit,399.95,adobe production premium cs3 software suite for windows professional editing software,,1698.95
105,1,logic pro 6 upgrade from logic platinum/gold 5 & 6,apple,199.99,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple software,149.0
106,0,britannica deluxe,avanquest software,29.95,britannica deluxe 2008,,26.5
107,0,tlc arthur 's kindergarten learning system 2008,encore,19.99,encore software 13871 tlc reader rabbit 1st grade learning system 2008,,17.97
108,0,tonka town ( jewel case ),atari,9.99,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
109,0,punch 5 in 1 home design,punch ! software,39.99,punch software 41100 punch ! home design architectural series 18,punch software,118.99
110,0,adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0,adobe cs3 master collection upsell from cs1,,2054.99
111,0,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 ( mac ),,599.0
112,1,microsoft windows vista business full version [ dvd ],microsoft,299.95,microsoft windows vista business ( pc ),,299.99
113,0,instant play guitar deluxe v2 .,topics entertainment,39.48,instant immersion spanish deluxe 2.0 topics,,39.99
114,0,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),microsoft,688.99
115,0,adventure workshop 4th-6th grade 7th edition,encore software,19.99,encore software 10590 adventure workshop preschool 1st grade 7th ed sb cs by riverdeep,,17.97
116,0,jumpstart advanced preschool v2 .0,knowledge adventure,19.99,jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure,,19.99
117,1,aquarium 3-in-one collection ( win/mac ),encore software,19.99,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ),,19.95
118,0,hoyle casino ( 2007 ),encore,19.99,hoyle ( r ) card games 2007,,19.99
