id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
1,0,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",sigmod conference,2002.0,form-based proxy caching for database-backed web sites very large data bases,"qiong luo , jeffrey f. naughton",,2001.0
2,0,oracle industrial exhibit 1998,amy pogue,vldb,,objectivity industrial exhibit objectivity very large data bases,,,1998.0
3,0,extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",vldb,1999.0,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods ),,,1994.0
4,1,efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,"barbara liskov , atul adya , robert gruber , umesh maheshwari",,1995.0,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995.0
5,0,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb",,,1994.0,unisql/x unified relational and object-oriented database system won kim 1994,,international conference on management of data,
6,1,emergent semantics and the multimedia semantic web 2002,"william i. grosky , farshad fotouhi , d. v. sreenath",sigmod record,,"emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi",,acm sigmod record,2002.0
7,0,dwms : data warehouse management system narendra mohan,,vldb,1996.0,strudel : a web site management system 1997,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",international conference on management of data,
8,0,data mining techniques sigmod conference,jiawei han,,1996.0,"data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record",,,2002.0
9,0,"qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference 2002",,,,"extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani 1998",,international conference on management of data,
10,0,advances in databases and information systems ( adbis ) 2002,"albertas caplinskas , johann eder , olegas vasilecas",sigmod record,,"amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record",,,2002.0
11,0,query unnesting in object-oriented databases leonidas fegaras 1998,,sigmod conference,,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system georges gardarin , fei sha , zhao-hui tang very large data bases",,,1996.0
12,1,"data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb",,,2001.0,"data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001",,,
13,0,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,"databases and transaction processing : an application-oriented approach philip m. lewis , arthur bernstein , michael kifer",,acm sigmod record,2002.0
14,0,declarative updates of relational databases,weidong chen,acm trans . database syst .,1995.0,enhanced abstract data types in object-relational databases,praveen seshadri,the vldb journal -- the international journal on very large data bases,1998.0
15,1,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",,acm trans . database syst .,1994.0,a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",acm transactions on database systems ( tods ),1994.0
16,0,"what is the data warehousing problem ? ( are materialized views the answer ? ) inderpal singh mumick , ashish gupta vldb 1996",,,,"algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li 1997",,very large data bases,
17,1,"enterprise objects framework , a second generation object-relational enabler charly kleissner sigmod conference 1995",,,,enterprise objects framework : a second generation object-relational enabler charly kleissner international conference on management of data 1995,,,
18,0,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000",,,,"priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham the vldb journal -- the international journal on very large data bases",,,1996.0
