id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
1,0,the demarcation protocol : a technique for maintaining constraints in distributed database systems vldb j. 1994,"d barbarс , h garcia-molina",,,"local verification of global integrity constraints in distributed databases a gupta , j widom",,,
2,1,on-demand data elevation in hierarchical multimedia storage servers vldb,"p triantafillou , t papadakis",,1997.0,"on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb ,","p triantallou , t papadakis",,1997.0
3,1,"database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002",,,,"database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",
4,0,dna-miner : a system prototype for mining dna sequences sigmod conference 2001,"j han , h jamil , y lu , l chen , y liao , j pei",,,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
5,0,communication efficient distributed mining of association rules sigmod conference 2001,"a schuster , r wolff",,,"mining generalized association rules r agrawal , r srikant proceedings of the 1995 international conference of very & hellip ; ,",,,
6,0,"global transaction support for workflow management systems : from formal specification to practical implementation p grefen , j vonk , p apers vldb j. 2001",,,,"distributed transaction support for workflow management applications j vonk , p grefen , e boertjes , p apers procs . 10th int . conf . on database and expert system & hellip ; ,",,,
7,0,"the x-tree : an index structure for high-dimensional data s berchtold , d keim , h kriegel vldb 1996",,,,"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994.0
8,0,an extensible compressor for xml data sigmod record,"h liefke , d suciu",,2000.0,"xmill : an efficient compressor for xml data l hartmut , d suciu",,,
9,0,database systems management and oracle8 sigmod conference,c doherty,,1998.0,the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",
10,1,a critique of ansi sql isolation levels sigmod conference,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",,1995.0,a critique of ansi sql isolation levels 1995.0,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",
11,0,online association rule mining sigmod conference 1999,c hidber,,,"mining fuzzy association rules in database mk chan , f ada , hw man sigmod record ,",,,
12,0,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
13,1,"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999",,,,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
14,0,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
15,0,fast algorithms for mining association rules in large databases 1994,"r agrawal , r srikant",vldb,,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms , t fukuda , y morimoto , s morishita , t tokuyama proceedings of the acm sigmod international conference on",,,
16,0,"on the issue of valid time ( s ) in temporal databases s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos 1995",,sigmod record,,temporal databases,rt snodgrass,,
17,0,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999.0,special section on data management issues in e-commerce a dogac,,"acm sigmod record ,",
18,1,storage and retrieval of xml data using relational databases,,,2001.0,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
19,0,"banks : browsing and keyword searching in relational databases b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan vldb",,,2002.0,distance browsing in spatial databases 1999.0,"gr hjaltason , h samet","acm transactions on database systems ,",
20,0,answering queries using views : a survey a halevy 2001,,vldb j.,,a scalable algorithm for answering queries using views,ay levy,,
21,1,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003,"y diao , m altinel , m franklin , h zhang , p fischer",,,"yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering y diao , m altinel , mj franklin , h zhang , p fischer acm transactions on database systems ( tods )",,,
22,0,"tavant system architecture for sell-side channel management s narayanan , s subramanian 2001",,vldb,,a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",
23,0,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,a new sql-like operator for mining association rules,"s ceri , r meo , g psaila",proc . of the 22nd intâ ?? l conference on very large data,
24,1,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
25,1,ariadne : a system for constructing mediators for internet sources sigmod conference,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",,1998.0,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,
26,0,"asserting beliefs in mls relational models n jukic , s vrbsky sigmod record 1997",,,,"learning probabilistic relational models l getoorâ ? ¦ lecture notes in computer science , 2000.0",,,
27,0,exploiting main memory dbms features to improve real-time concurrency control protocols sigmod record 1996,"ж ulusoy , a buchmann",,,"index concurrency control in firm real-time dbms b goyal , j haritsa , s seshadri , v srinivasan proceedings of the international conference on very large & hellip ; , 1995.0",,,
28,0,hierarchical compact cube for range-max queries,"s lee , t ling , h li",vldb,2000.0,"hierarchical prefix cubes for range-sum queries cy chan , ye ioannidis proceedings of the 25th international conference on very & hellip ; ,",,,1999.0
29,0,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,parallel algorithm for mining outliers in large database,e hung,,
