id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
1,0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal electronics - general elite screens r85wh1-wide 409.0,,,,,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,,
2,0,san diego padres iphone 4 case silicone cover,electronics - general,tribeca,fva3959,24.99,georgia bulldogs iphone 4 case silicone cover tribeca 17.99,computers accessories,,,
3,0,innovera d3010 black compatible high-yield toner print cartridge stationery & office machinery d3010,,innovera,,68.35,premium compatible hp 11x toner cartridge hp q6511x . black print cartridge high yield hp 12000 pages . . compatible,inkjet printer ink,,hp-q6511x,28.92
4,0,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite 27514 da-plex unframed rear projection screen - 108 x 144 video format projection screens,,da-lite,,
5,0,pc treasures wireless optical mouse 2.4 ghz purple 07227,mice,pc treasures,,17.82,inland pro 2.4 ghz wireless optical mouse 07441 12.98,mice,inland,,
6,0,hon metal bookcase 34-1 2w x 12-5 8d x 81-1 8h furniture hon s82abcp 369.0,,,,,new-hon s60abcq - metal bookcase 4 shelves 34-1 2w x 12-5 8d x 59h light gray - hons60abcq 334.0,laminating supplies,hon,,
7,0,msi ati radeon hd6670 1gb ddr5 pci-express video card msi r6670-md1gd5 107.0,electronics - general,,,,xfx ati radeon hd6570 1 gb ddr3 vga dvi hdmi pci-express video card hd657xzhf2 77.64,graphics cards,xfx,hd657xzhf2,
8,1,sumdex slr camera sling pack 39.99,mp3 accessories,sumdex,144952,,slr camera sling pack sumdex poc-484bk,cases bags,,,44.59
9,1,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer xerox 108r00645,printers,,,244.84,xerox printers imaging unit phaser 6300 6350 108 r00645 108r00645,printer ink toner,xerox,,253.79
10,0,hp ce278a black laserjet print cartridge hp 69.84,printers,,hp ce278a,,hp 85a laserjet black toner print cartridge - retail packaging ce285a hp ce285a,laser printer toner,,,
11,0,micronet mde1000 1tb fantom g-force megadisk usb 2.0 esata raid sub system 159.0,hard drives,micronet,mde1000,,fantom g force megadisk 4 tb usb 2.0 esata mde4000,external hard drives,micronet,mde4000,233.08
12,1,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive hard drives toshiba ph3100u-1e3s,,,,89.0,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver ph3100u-1e3s,external hard drives,toshiba,,80.23
13,0,incipio smart feather for apple ipad 2 light blue electronics - general,,incipio,ipad-227,33.25,incipio ipad-209 feather for apple ipad 2 - iridescent purple touch screen tablet accessories incipio ipad-209,,,,21.16
14,0,avery shipping labels for color laser copier 3-3 4 x 4-3 4 matte white 100 pack 16.67,stationery & office machinery,avery,,,avery 5692 - laser cd dvd labels matte white 40 pack computers accessories avery,,,,
15,0,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,da-plex standard rear projection screen - 96 x 96 av format da-lite 5912.99,projection screens,,,
16,0,sharpie retractable permanent markers fine point set of 12 black stationery & office machinery sharpie 32701,,,,13.64,new-sharpie 32730pp - retractable permanent markers fine point assorted 8 set - san32730pp shredders 33.68,,sharpie,,
